Unknown,20241001,32,30,14,15,91,22.8,2025-11-10 19:11:37
Unknown,20241002,28,33,12,14,87,21.8,2025-11-10 19:11:37
Unknown,20241003,35,35,15,15,100,25.0,2025-11-10 19:11:37
Unknown,20241004,25,27,10,13,75,18.8,2025-11-10 19:11:37
Unknown,20241005,30,31,13,15,89,22.2,2025-11-10 19:11:37
Unknown,20241006,22,25,11,12,70,17.5,2025-11-10 19:11:37
Unknown,20241007,33,34,14,15,96,24.0,2025-11-10 19:11:37
Unknown,20241008,29,28,13,14,84,21.0,2025-11-10 19:11:37
Unknown,20241009,31,32,15,15,93,23.2,2025-11-10 19:11:37
Unknown,20241010,26,29,12,13,80,20.0,2025-11-10 19:11:37
Unknown,20241011,34,33,14,14,95,23.8,2025-11-10 19:11:37
Unknown,20241012,27,30,11,15,83,20.8,2025-11-10 19:11:37
Unknown,20242001,30,32,13,15,90,22.5,2025-11-10 19:11:37
Unknown,20242002,33,31,14,14,92,23.0,2025-11-10 19:11:37
Unknown,20242003,24,26,10,12,72,18.0,2025-11-10 19:11:37
Unknown,20242004,35,34,15,15,99,24.8,2025-11-10 19:11:37
Unknown,20242005,28,29,12,13,82,20.5,2025-11-10 19:11:37
Unknown,20242006,31,33,14,15,93,23.2,2025-11-10 19:11:37
Unknown,20242007,26,28,11,14,79,19.8,2025-11-10 19:11:37
Unknown,20242008,29,30,13,15,87,21.8,2025-11-10 19:11:37
Unknown,20242009,32,35,15,14,96,24.0,2025-11-10 19:11:37
Unknown,20242010,27,25,12,13,77,19.2,2025-11-10 19:11:37
Unknown,20242011,34,33,14,15,96,24.0,2025-11-10 19:11:37
Unknown,20242012,23,27,10,12,72,18.0,2025-11-10 19:11:37
Unknown,20242013,30,31,13,14,88,22.0,2025-11-10 19:11:37
Unknown,20242014,25,29,11,13,78,19.5,2025-11-10 19:11:37
Unknown,20243001,31,33,14,15,93,23.2,2025-11-10 19:11:37
Unknown,20243002,28,30,12,14,84,21.0,2025-11-10 19:11:37
Unknown,20243003,35,35,15,15,100,25.0,2025-11-10 19:11:37
Unknown,20243004,26,28,11,13,78,19.5,2025-11-10 19:11:37
Unknown,20243005,32,34,14,15,95,23.8,2025-11-10 19:11:37
Unknown,20243006,29,31,13,14,87,21.8,2025-11-10 19:11:37
Unknown,20243007,24,26,10,12,72,18.0,2025-11-10 19:11:37
Unknown,20243008,33,32,15,15,95,23.8,2025-11-10 19:11:37
Unknown,20243009,27,29,12,13,81,20.2,2025-11-10 19:11:37
Unknown,20243010,30,30,13,14,87,21.8,2025-11-10 19:11:37
